type,name,x,y,dist 
0,336,492,1551,0 
0,326,677,1551,0 
0,328,677,1401,0 
0,334,492,1401,0 
0,332,609,1455,0 
0,335,492,1477,0 
0,327,677,1477,0 
1,326_327,0,0,5525 
1,326_332,0,0,13904 
1,327_328,0,0,5776 
1,328_332,0,0,7540 
1,332_334,0,0,16605 
1,332_336,0,0,22969 
1,334_335,0,0,5776 
1,335_336,0,0,5525 
